Treatment,Line,Log10,Compiled,,,R1,R2,R3,L1,L2,L3,R,,
L,L3,7.16,L3,,,,,,,,,,,
L,L3,7.88,L3,,,,,,,,,,,
L,L3,7.81,L3,,,,,,,,,,,
L,L3,8.49,L3,,,,,,,,,,,
L,L3,7.57,L3,,,,,,,,,,,
L,L3,8.28,L3,,,,,,,,,,,
L,L3,7.35,L3,,,,,,,,,,,
L,L3,7.72,L3,,,,,,,,,,,
L,L3,6.33,L3,,,,,,,,,,,
L,L3,7.81,L3,,,,,,,,,,,
L,L3,7.4,L3,,,,,,,,,,,
L,L3,3.66,L3,,,,,,,,,,,
L,L3,7.6,L3,,,,,,,,,,,
L,L3,7.86,L3,,,,,,,,,,,
L,L3,7.53,L3,,,,,,,,,,,
L,L3,8.31,L3,,,,,,,,,,,
